"module name","license","repository"
"@angular/animations@10.1.5","MIT","https://github.com/angular/angular"
"@angular/cdk@8.2.3","MIT","https://github.com/angular/components"
"@angular/common@10.1.5","MIT","https://github.com/angular/angular"
"@angular/compiler@10.1.5","MIT","https://github.com/angular/angular"
"@angular/core@10.1.5","MIT","https://github.com/angular/angular"
"@angular/forms@10.1.5","MIT","https://github.com/angular/angular"
"@angular/material-moment-adapter@8.2.3","MIT","https://github.com/angular/components"
"@angular/material@8.2.3","MIT","https://github.com/angular/components"
"@angular/platform-browser-dynamic@10.1.5","MIT","https://github.com/angular/angular"
"@angular/platform-browser@10.1.5","MIT","https://github.com/angular/angular"
"@angular/router@10.1.5","MIT","https://github.com/angular/angular"
"@angular/service-worker@10.1.5","MIT","https://github.com/angular/angular"
"@apollo/client@3.2.2","MIT","https://github.com/apollographql/apollo-client"
"@graphql-typed-document-node/core@3.1.0","MIT","https://github.com/dotansimha/graphql-typed-document-node"
"@ionic/storage@2.3.1","MIT","https://github.com/ionic-team/ionic-storage"
"@ngneat/content-loader@5.0.0","MIT","https://github.com/ngneat/content-loader"
"@types/node@14.11.5","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@types/zen-observable@0.8.1","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped"
"@wry/context@0.4.4","MIT","https://github.com/benjamn/wryware"
"@wry/context@0.5.2","MIT","https://github.com/benjamn/wryware"
"@wry/equality@0.1.11","MIT","https://github.com/benjamn/wryware"
"@wry/equality@0.2.0","MIT","https://github.com/benjamn/wryware"
"apollo-angular-link-http-common@1.10.0","MIT","https://github.com/kamilkisiela/apollo-angular"
"apollo-angular-link-http@1.11.0","MIT","https://github.com/kamilkisiela/apollo-angular"
"apollo-angular@2.0.4","MIT","https://github.com/kamilkisiela/apollo-angular"
"apollo-cache-inmemory@1.6.6","MIT","https://github.com/apollographql/apollo-client"
"apollo-cache-persist@0.1.1","MIT","https://github.com/apollographql/apollo-cache-persist"
"apollo-cache@1.3.5","MIT","https://github.com/apollographql/apollo-client"
"apollo-client@2.6.10","MIT","https://github.com/apollographql/apollo-client"
"apollo-link-error@1.1.13","MIT","https://github.com/apollographql/apollo-link"
"apollo-link-http-common@0.2.16","MIT","https://github.com/apollographql/apollo-link"
"apollo-link@1.2.14","MIT","https://github.com/apollographql/apollo-link"
"apollo-utilities@1.3.4","MIT","https://github.com/apollographql/apollo-client"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"commander@2.20.3","MIT","https://github.com/tj/commander.js"
"desandro-matches-selector@2.0.2","MIT","https://github.com/desandro/matches-selector"
"dom7@2.1.5","MIT","https://github.com/nolimits4web/dom7"
"ev-emitter@1.1.1","MIT","https://github.com/metafizzy/ev-emitter"
"extract-files@6.0.0","MIT","https://github.com/jaydenseric/extract-files"
"extract-files@9.0.0","MIT","https://github.com/jaydenseric/extract-files"
"fast-json-stable-stringify@2.1.0","MIT","https://github.com/epoberezkin/fast-json-stable-stringify"
"fizzy-ui-utils@2.0.7","MIT","https://github.com/metafizzy/fizzy-ui-utils"
"get-size@2.0.3","MIT","https://github.com/desandro/get-size"
"graphql-tag@2.11.0","MIT","https://github.com/apollographql/graphql-tag"
"graphql@15.3.0","MIT","https://github.com/graphql/graphql-js"
"hoist-non-react-statics@3.3.2","BSD-3-Clause","https://github.com/mridgway/hoist-non-react-statics"
